epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.444,0.6092,0.57886,0.96503,0.90441,0.8915,0.95596,0.82361,0.54284,0.56225,0.8462,0.0676324,6.48649e-05,6.48649e-05
2,343.142,0.59785,0.53128,0.96446,0.89835,0.91416,0.96865,0.8408,0.53323,0.51875,0.84885,0.0343658,0.000131523,0.000131523
3,516.333,0.57942,0.51924,0.9548,0.92547,0.909,0.9716,0.83636,0.54907,0.49085,0.84908,0.00109905,0.000198149,0.000198149
4,1255.54,0.56517,0.50135,0.95395,0.90807,0.91616,0.96922,0.83953,0.5321,0.48394,0.84504,0.000199889,0.000199889,0.000199889
5,1425.69,0.5701,0.48516,0.95041,0.9184,0.90974,0.96938,0.83606,0.54722,0.47115,0.84894,0.000199803,0.000199803,0.000199803
6,1595.42,0.55291,0.46328,0.93994,0.92175,0.91975,0.97426,0.84095,0.54097,0.45896,0.85091,0.000199692,0.000199692,0.000199692
7,1766.21,0.55468,0.46292,0.93912,0.92294,0.90972,0.972,0.83937,0.52675,0.4573,0.84244,0.000199557,0.000199557,0.000199557
8,1939.22,0.54836,0.45742,0.93875,0.9315,0.90545,0.96881,0.83404,0.53798,0.45757,0.8417,0.000199397,0.000199397,0.000199397
9,2112.38,0.53109,0.4362,0.93104,0.93501,0.92597,0.97621,0.85242,0.52432,0.42202,0.84291,0.000199213,0.000199213,0.000199213
10,2285.36,0.53191,0.43255,0.93441,0.93737,0.92779,0.97767,0.85767,0.51337,0.41785,0.8396,0.000199004,0.000199004,0.000199004
11,2458.16,0.54999,0.44617,0.95015,0.93167,0.91934,0.97407,0.85318,0.51257,0.41744,0.83575,0.000198771,0.000198771,0.000198771
12,2630.95,0.54047,0.44627,0.93835,0.94514,0.92211,0.97866,0.86241,0.50135,0.40168,0.83266,0.000198514,0.000198514,0.000198514
13,2804,0.52477,0.42551,0.93246,0.93028,0.91339,0.97357,0.84252,0.52416,0.44556,0.84071,0.000198232,0.000198232,0.000198232
14,2976.63,0.52322,0.41616,0.93142,0.94001,0.91702,0.9767,0.85575,0.50636,0.41813,0.82979,0.000197926,0.000197926,0.000197926
15,3148.26,0.51448,0.42107,0.92498,0.93048,0.92637,0.97681,0.85827,0.51128,0.40992,0.82728,0.000197596,0.000197596,0.000197596
16,3320.66,0.51232,0.42265,0.9236,0.94175,0.90457,0.97631,0.86044,0.5052,0.41604,0.8284,0.000197243,0.000197243,0.000197243
17,3494.14,0.51452,0.40155,0.92885,0.9199,0.93785,0.97787,0.86612,0.49861,0.39158,0.82743,0.000196865,0.000196865,0.000196865
18,3667.22,0.52273,0.41105,0.92915,0.94062,0.93801,0.9812,0.86763,0.49343,0.37828,0.83039,0.000196463,0.000196463,0.000196463
19,3840.12,0.5136,0.40192,0.93189,0.93108,0.94094,0.97845,0.84694,0.53302,0.42061,0.84908,0.000196037,0.000196037,0.000196037
20,4014.78,0.51524,0.38582,0.92954,0.92722,0.91599,0.97455,0.85469,0.51952,0.40428,0.84035,0.000195588,0.000195588,0.000195588
21,4188.01,0.49704,0.39158,0.91822,0.92111,0.93819,0.9779,0.86474,0.4989,0.38701,0.83537,0.000195115,0.000195115,0.000195115
22,4361.48,0.50536,0.39064,0.92209,0.95515,0.92147,0.98113,0.86434,0.50075,0.39278,0.83381,0.000194619,0.000194619,0.000194619
23,4534.84,0.50008,0.39139,0.92025,0.94465,0.93444,0.98263,0.87811,0.48416,0.36964,0.82883,0.0001941,0.0001941,0.0001941
24,4707.87,0.511,0.39126,0.93466,0.94787,0.93903,0.98339,0.87161,0.49443,0.37309,0.83018,0.000193557,0.000193557,0.000193557
25,4881.1,0.50753,0.3789,0.92965,0.94604,0.93561,0.98276,0.86264,0.52906,0.38393,0.83717,0.000192992,0.000192992,0.000192992
26,5055.11,0.50254,0.38581,0.92309,0.94418,0.92828,0.98157,0.86926,0.49778,0.37302,0.82996,0.000192403,0.000192403,0.000192403
27,5228.8,0.49645,0.38895,0.92645,0.93706,0.93429,0.98234,0.88118,0.48378,0.36708,0.82952,0.000191792,0.000191792,0.000191792
28,5402.54,0.49998,0.38612,0.92571,0.94042,0.93246,0.98217,0.88171,0.47372,0.37161,0.82435,0.000191158,0.000191158,0.000191158
29,5575.81,0.50064,0.38669,0.91793,0.95097,0.92977,0.98167,0.86174,0.51252,0.39486,0.83396,0.000190502,0.000190502,0.000190502
30,5749.09,0.5029,0.38658,0.92289,0.93952,0.93559,0.98102,0.86988,0.49817,0.37999,0.83313,0.000189823,0.000189823,0.000189823
31,5922.88,0.49361,0.37014,0.92028,0.93898,0.92591,0.97942,0.87359,0.4798,0.37333,0.82815,0.000189122,0.000189122,0.000189122
32,6096.02,0.50018,0.36274,0.91909,0.93296,0.93577,0.97844,0.86892,0.49099,0.38114,0.8201,0.0001884,0.0001884,0.0001884
33,6269.53,0.4954,0.37171,0.91089,0.93602,0.94049,0.98202,0.88198,0.47097,0.36147,0.81607,0.000187655,0.000187655,0.000187655
34,6443.12,0.49019,0.36931,0.92606,0.925,0.94944,0.97884,0.87192,0.47368,0.36517,0.82199,0.000186889,0.000186889,0.000186889
35,6616.42,0.49658,0.3711,0.91978,0.94918,0.92115,0.97993,0.87044,0.49407,0.37749,0.82596,0.000186102,0.000186102,0.000186102
36,6789.3,0.48712,0.38253,0.91843,0.92045,0.9514,0.9798,0.86987,0.49489,0.37955,0.824,0.000185293,0.000185293,0.000185293
37,6962.59,0.48272,0.36644,0.90921,0.92496,0.94574,0.97927,0.87356,0.48481,0.38444,0.82061,0.000184464,0.000184464,0.000184464
38,7135.97,0.48167,0.35377,0.90615,0.91511,0.95361,0.98067,0.87984,0.47907,0.36458,0.82147,0.000183614,0.000183614,0.000183614
39,7308.87,0.47588,0.36125,0.91296,0.94217,0.94561,0.98253,0.87993,0.47223,0.36272,0.81769,0.000182743,0.000182743,0.000182743
40,7482.25,0.48472,0.36425,0.91493,0.93124,0.94533,0.98199,0.87656,0.47792,0.37022,0.82028,0.000181851,0.000181851,0.000181851
41,7656.65,0.48431,0.36205,0.9165,0.941,0.95101,0.98515,0.8866,0.47456,0.35131,0.81936,0.00018094,0.00018094,0.00018094
42,7829.52,0.48092,0.36817,0.91766,0.94046,0.94193,0.98409,0.87511,0.4857,0.36977,0.82384,0.000180009,0.000180009,0.000180009
43,8003.31,0.48801,0.36566,0.92364,0.94494,0.93929,0.983,0.8747,0.50703,0.37078,0.83075,0.000179057,0.000179057,0.000179057
44,8176.12,0.48708,0.35984,0.91395,0.93894,0.93813,0.9803,0.86961,0.49747,0.36508,0.82538,0.000178087,0.000178087,0.000178087
45,8348.52,0.46844,0.35035,0.92105,0.93569,0.9512,0.98307,0.87875,0.49036,0.3706,0.82367,0.000177097,0.000177097,0.000177097
46,8519.94,0.47996,0.36042,0.92262,0.94912,0.94208,0.98515,0.87811,0.4954,0.34968,0.82397,0.000176089,0.000176089,0.000176089
47,8691.51,0.47117,0.34974,0.9171,0.95089,0.93834,0.98345,0.87562,0.48664,0.35766,0.82183,0.000175061,0.000175061,0.000175061
48,8863.55,0.48978,0.36085,0.91413,0.95334,0.93384,0.98394,0.88419,0.4682,0.34784,0.81567,0.000174015,0.000174015,0.000174015
